                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0434,                 2.2774,                 1.9439,                0.29855,                 0.3192,                0.24576,                0.08327,                 2.2978,                 2.3698,                 2.3204,              0.0005542,              0.0005542,              0.0005542
                      2,                 2.0097,                 2.0878,                 1.9257,                0.38098,                0.39088,                0.32472,                0.12004,                 2.1594,                  2.296,                 2.1284,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.9842,                 2.0677,                 1.8955,                0.34045,                0.39743,                0.31502,                0.11495,                 2.0934,                 2.1739,                 2.0881,              0.0016326,              0.0016326,              0.0016326
                      4,                 1.9562,                 2.0306,                 1.8899,                0.51732,                0.46716,                0.46879,                0.18766,                 1.9691,                 2.0942,                 1.9362,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9196,                 1.9652,                 1.8535,                0.52214,                0.45116,                0.44969,                0.17835,                 1.9785,                 1.9356,                 1.9316,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.8837,                 1.9088,                 1.8247,                 0.5869,                0.49194,                0.51097,                0.22606,                 1.8786,                 1.8061,                 1.8699,               0.001601,               0.001601,               0.001601
                      7,                 1.8753,                 1.8686,                 1.8137,                0.55615,                0.46486,                0.51588,                0.21236,                 1.8733,                 1.8615,                  1.856,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.8505,                 1.8368,                 1.7997,                0.59209,                0.56508,                0.57472,                0.24015,                 1.8853,                 1.7148,                 1.8875,               0.001568,               0.001568,               0.001568
                      9,                 1.8431,                 1.7968,                 1.7843,                 0.6337,                0.56631,                0.61148,                0.26903,                 1.8708,                 1.6521,                 1.8276,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.815,                 1.7688,                 1.7765,                0.67616,                0.53427,                0.60935,                0.26008,                 1.8742,                  1.658,                 1.8523,               0.001535,               0.001535,               0.001535
                     11,                  1.819,                 1.7595,                 1.7755,                0.62171,                 0.5765,                0.60249,                0.26926,                 1.8453,                 1.7111,                 1.8164,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.8072,                 1.7372,                 1.7719,                0.59053,                0.50478,                0.53159,                0.23519,                 1.8191,                 1.7313,                 1.8201,               0.001502,               0.001502,               0.001502
                     13,                 1.7922,                  1.729,                 1.7618,                0.60905,                0.56021,                0.59141,                0.27071,                 1.8343,                 1.5981,                  1.802,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.7804,                 1.6965,                 1.7508,                0.63916,                0.56608,                0.60217,                0.28235,                 1.8183,                 1.6243,                 1.7877,               0.001469,               0.001469,               0.001469
                     15,                 1.7802,                 1.6901,                 1.7484,                0.64728,                0.59388,                0.64144,                0.29833,                  1.777,                 1.5888,                  1.776,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.7714,                 1.6708,                 1.7424,                0.68829,                0.60971,                0.64493,                0.30359,                 1.8066,                 1.5385,                 1.8151,               0.001436,               0.001436,               0.001436
                     17,                  1.762,                 1.6718,                 1.7445,                0.68431,                0.59584,                0.66674,                0.31885,                 1.7373,                 1.5287,                 1.7587,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.7575,                 1.6333,                 1.7318,                0.68678,                0.59184,                0.64439,                0.30388,                 1.7849,                 1.5839,                 1.7738,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.7443,                 1.6237,                 1.7242,                0.69282,                0.61691,                0.66981,                0.32226,                 1.7466,                 1.5261,                 1.7742,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7368,                 1.6114,                 1.7177,                0.65148,                0.58923,                0.63715,                0.29341,                 1.7853,                 1.5453,                 1.7693,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.7422,                 1.6124,                 1.7168,                0.62232,                0.64177,                0.64789,                0.30795,                 1.7363,                 1.4969,                 1.7397,              0.0013534,              0.0013534,              0.0013534
